Uuid,Status,Additional data,Characteristic,Path,K1 Value,K4 Time/Date,K6 Batch,K7 Cavity,K8 Operator,K9 Text,K10 Machine,K12 Gage equipment,K14 Part ident,K15 Reason for test,K16 Production number,K53 Order number,K96 Approval,K801 Supplier,K802 Version,K803 Production date,K850 Shift,K851 Grade,K852 Long term measurement,K2001 Characteristic number,K2003 Characteristic abbreviation,K2004 Direction,K2006 Control item,K2008 Grouping type,K2011 Distribution,K2021 Formula,K2022 Decimal places,K2100 Set value,K2101 Nominal value,K2110 Lower limit,K2111 Upper limit,K2112 Lower allowance,K2113 Upper allowance,K2120 Lower limit type,K2121 Upper limit type,K2142 Unit,K2297 Alignment,K2298 Location,K2299 Orientation,K2342 Module,K2403 Gage group,K2540 Direction X,K2541 Direction Y,K2542 Direction Z,K2543 Position X,K2544 Position Y,K2545 Position Z,K2546 Diameter,K2547 Length,K2548 Length2,K2549 Angle,K2805 Audit function,K8012 Lower control limit,K8013 Upper control limit,K8014 Lower warning limit,K8015 Upper warning limit,K8500 Subgroup size,K8501 Subgroup type,K12004 Characteristic type,K12005 Measured value catalog,K12009 Characteristic Specification
"afe7a9a5-ab8d-4768-a435-d1826deb40c5|d9317010-bfba-45dc-9564-c1717496c4e3","1","False","Abweichung_3","/Blechteil/Abweichung_3","-0.0169051595709598",9/22/2010 1:06:28 AM,"6","1 - Nest 1","20 - Müller",,"n.def.","2 - Prismo - automatisch",,"n.def.",,,"n.def.",,,,,,"n.def.",,,"n.def.","n.def.",,"n.def.",,,,"0","-0.5","0.5",,,"n.def.","n.def.",,"n.def.","n.def.","n.def.","Abweichungen",,"0.377412","0","-0.926","2905.358","-41.25","21.759",,,,,"n.def.",,,,,,,"n.def.",,
"afe7a9a5-ab8d-4768-a435-d1826deb40c5|4179322f-33e7-4b33-88f5-5d4f3c0e1e82","1","False","Abweichung_4","/Blechteil/Abweichung_4","-0.0012107354637206",9/22/2010 1:06:28 AM,"6","1 - Nest 1","20 - Müller",,"n.def.","2 - Prismo - automatisch",,"n.def.",,,"n.def.",,,,,,"n.def.",,,"n.def.","n.def.",,"n.def.",,,,"0","-0.5","0.5",,,"n.def.","n.def.",,"n.def.","n.def.","n.def.","Abweichungen",,"0.377412","0","-0.926","2912.199","-41.25","24.547",,,,,"n.def.",,,,,,,"n.def.",,
"afe7a9a5-ab8d-4768-a435-d1826deb40c5|616b0e3c-0e7e-4e5e-8727-dbee5dc76f3c","1","False","Abweichung_5","/Blechteil/Abweichung_5","-0.059463031212745",9/22/2010 1:06:28 AM,"6","1 - Nest 1","20 - Müller",,"n.def.","2 - Prismo - automatisch",,"n.def.",,,"n.def.",,,,,,"n.def.",,,"n.def.","n.def.",,"n.def.",,,,"0","-0.5","0.5",,,"n.def.","n.def.",,"n.def.","n.def.","n.def.","Abweichungen",,"0.377412","0","-0.926","2919.041","-41.25","27.335",,,,,"n.def.",,,,,,,"n.def.",,
"afe7a9a5-ab8d-4768-a435-d1826deb40c5|9f13ccba-3dbd-4b34-a345-4ae59ac85fae","1","False","Abweichung_6","/Blechteil/Abweichung_6","0.0992835829847996",9/22/2010 1:06:28 AM,"6","1 - Nest 1","20 - Müller",,"n.def.","2 - Prismo - automatisch",,"n.def.",,,"n.def.",,,,,,"n.def.",,,"n.def.","n.def.",,"n.def.",,,,"0","-0.5","0.5",,,"n.def.","n.def.",,"n.def.","n.def.","n.def.","Abweichungen",,"0.377412","0","-0.926","2925.882","-41.25","30.124",,,,,"n.def.",,,,,,,"n.def.",,
"afe7a9a5-ab8d-4768-a435-d1826deb40c5|9d69e76e-0bd9-4417-96f1-b357ea9935bd","1","False","Abweichung_7","/Blechteil/Abweichung_7","-0.0842152875705363",9/22/2010 1:06:28 AM,"6","1 - Nest 1","20 - Müller",,"n.def.","2 - Prismo - automatisch",,"n.def.",,,"n.def.",,,,,,"n.def.",,,"n.def.","n.def.",,"n.def.",,,,"0","-0.5","0.5",,,"n.def.","n.def.",,"n.def.","n.def.","n.def.","Abweichungen",,"0.810188","0","-0.586","2931.722","-41.25","34.465",,,,,"n.def.",,,,,,,"n.def.",,
"afe7a9a5-ab8d-4768-a435-d1826deb40c5|9de466b6-0e46-4de3-a3c5-3dc2f574d49b","1","False","Abweichung_8","/Blechteil/Abweichung_8","0.12656317738483",9/22/2010 1:06:28 AM,"6","1 - Nest 1","20 - Müller",,"n.def.","2 - Prismo - automatisch",,"n.def.",,,"n.def.",,,,,,"n.def.",,,"n.def.","n.def.",,"n.def.",,,,"0","-0.5","0.5",,,"n.def.","n.def.",,"n.def.","n.def.","n.def.","Abweichungen",,"0.999943","0","-0.01","2933.999","-41.25","41.371",,,,,"n.def.",,,,,,,"n.def.",,
"afe7a9a5-ab8d-4768-a435-d1826deb40c5|f54d9ed2-17c2-4bc6-82dc-bdcc55052482","1","False","Abweichung_9","/Blechteil/Abweichung_9","0.247275091288993",9/22/2010 1:06:28 AM,"6","1 - Nest 1","20 - Müller",,"n.def.","2 - Prismo - automatisch",,"n.def.",,,"n.def.",,,,,,"n.def.",,,"n.def.","n.def.",,"n.def.",,,,"0","-0.5","0.5",,,"n.def.","n.def.",,"n.def.","n.def.","n.def.","Abweichungen",,"1","0","0","2934","-41.25","48.759",,,,,"n.def.",,,,,,,"n.def.",,
"afe7a9a5-ab8d-4768-a435-d1826deb40c5|ebd41285-8eea-46c8-a1d0-179a3cac40e6","1","False","Abweichung_10","/Blechteil/Abweichung_10","0.294803575031525",9/22/2010 1:06:28 AM,"6","1 - Nest 1","20 - Müller",,"n.def.","2 - Prismo - automatisch",,"n.def.",,,"n.def.",,,,,,"n.def.",,,"n.def.","n.def.",,"n.def.",,,,"0","-0.5","0.5",,,"n.def.","n.def.",,"n.def.","n.def.","n.def.","Abweichungen",,"1","0","0","2934","-41.25","56.147",,,,,"n.def.",,,,,,,"n.def.",,
"afe7a9a5-ab8d-4768-a435-d1826deb40c5|22a9230f-713a-48d1-b970-d022da878f1d","1","False","Abweichung_11","/Blechteil/Abweichung_11","0.0597810439656565",9/22/2010 1:06:28 AM,"6","1 - Nest 1","20 - Müller",,"n.def.","2 - Prismo - automatisch",,"n.def.",,,"n.def.",,,,,,"n.def.",,,"n.def.","n.def.",,"n.def.",,,,"0","-0.5","0.5",,,"n.def.","n.def.",,"n.def.","n.def.","n.def.","Abweichungen",,"1","0","0","2934","-41.25","63.534",,,,,"n.def.",,,,,,,"n.def.",,
"afe7a9a5-ab8d-4768-a435-d1826deb40c5|7e7bebd6-30ce-4005-8a84-91e0f5972280","1","False","Abweichung_12","/Blechteil/Abweichung_12","-0.103656366523712",9/22/2010 1:06:28 AM,"6","1 - Nest 1","20 - Müller",,"n.def.","2 - Prismo - automatisch",,"n.def.",,,"n.def.",,,,,,"n.def.",,,"n.def.","n.def.",,"n.def.",,,,"0","-0.5","0.5",,,"n.def.","n.def.",,"n.def.","n.def.","n.def.","Abweichungen",,"0.932851","0","0.36","2933.194","-41.25","70.823",,,,,"n.def.",,,,,,,"n.def.",,
